Nom	Adresse (ligne 1)	Adresse (ligne 2)	Adresse (ligne 3)	Code postal	Ville	Pays	Autre...	Collections : [Nom]
Clancier-Guénaud					Paris			[Archipels][Colloque de Cerisy][Psychopée]
University Collège					Londres			
Editions d'Artrey					Paris			
Mercure de France								[Collection d'Auteurs étrangers][En direct][Le petit mercure][Le Temps retrouvé][Les Hommes et les Idées][Les plus belles pages][Mille et une femmes][Républications paulet]
Pratiques								
Perrin					Paris			[Histoire et décadence][Librairie Académique Perrin][Pluriel][Pour l'Histoire][Vérités et légendes]
Claude Tchou					Paris / Suisse			[Bibliothèque des introuvables][Le Livre de Chevet]
Institut synthélabo pour le progrès de la connaissance					Paris			[Les empêcheurs de penser en rond]
S.E.V.P.E.N					Paris			[]
Albert Blanchard					Paris			[L'Humanisme scientifique de dema][Librairie scientifique et techni]
Les presses de l'université Laval					Québec			
Hubert Nyssen / Actes Sud								
Laboratoires Delagrange / Synthélabo					Le Plessis-Robinson			[Les empêcheure de penser en rond][Les empêcheurs de penser en rond]
Henrichs					Paris			
MA éditions					Paris			[Les grandes encyclopédies][Les noms-Les thèmes-Les lieux]
Labor								[Quartier Libre]
Mille Sources								
Bruno Roy					Saint-Clément	France		[Fata Morgana / Scholies]
Larousse								[Classiques Larousse][La vie La légende][Langue et Langage][Langue française][Les dictionnaires de l'Homme du ][Nouveaux Classiques Larousse][Science de l' homme][Sciences humaines et sociales][Textes essentiels]
Le Graphe								[Les cahiers pour l'analyse]
La Pagina					Avellaneda	Argentine		[Secretos de Alcoba]
Seix Barral					Buenos Aires	Argentine		[Biblioteca Breve]
Ediciones Colihue S.R.L					Buenos Aires	Argentine		[Ensayos de punta]
Editions des Cendres					Paris			[De Trois en Trois]
Editions de la Différence					Paris			[Essais][La Vue le Texte][le milieu][Littérature][Minos][Orphée][Philosophia Perennis]
Magnard					Paris			[Textes et Contextes]
Giannerini Pierre-Louis								
Fondation Maeght					Paris			
Les auteurs et animal					Metz			[Revue Animal]
Gudrun						Islande		
Editions Parkstone					New -York	USA		
Presses universitaires de Vincennes					Paris			[Hors Cadre (Revue)]
Hatier Boivin					Paris			[Bibliothèque de philosophie]
Max Soulier						France		
Thames & Hudson					Paris			[L'Univers de l'Art][The World of Art]
Editions de L'Herne					Paris			
Le Grand Souffle Editions					Paris			
Fondo de Cultura Economica de Espana					Madrid	Espagne		[Los estudios de mujeres]
Lumen/Humanitas						Argentine		
Ediciones Gente de México					México	Méxique		
Lagusa						Mexique		[Ejercito del trabajo]
Servicio de publicaciones Universidad de Cadiz					Cadiz	Espagne		
Paidos					Buenos Aires	Argentine		[Espacios del Saber][Género y cultura][Orientacion Lacaniana][Psicologia Profundia]
Simurg					Buenos Aires	Argentine		
Iceland Review						Island		
Funacion Mexicana para la Salud Hepatica					Mexico	Mexique		
Gérard Lebovici					Paris			
Librairie José Corti					Paris			[Rien de commun]
Point Hors Ligne					Paris			[Fondation Européennes pour la Ps][Problèmes actuels de la psychana]
Editions du Grand Midi					Québec	Canada		
Calmann-Lévy					Paris			[Biographie][Diaspora][Essai / Histoire][Essai / Psychanalyse][Essai / Société][Génie et folie de l'homme][Liberté de l'esprit][Petite bibliothèque des idées][Petits traités][Temps et continents][Traduit de]
AREFPPI					Nantes	France		
Editions A.-G. Nizet					Paris			
Cedic / Fernand Nathan					Paris			
Septentrion						Québec		
